###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.423729   2.866  1.663 -50870389523 84616093464 o  0   1.18 341.47850  37.72398  1087.29  4857.68 4.01 3.51 -62.9 -0.424 -4.21 -4.54 02a57232o0222o
57232.446887   0.887  8.767 -8219711502 72059470832 o  0   1.09 341.47850  37.72398  1096.12  4862.22 3.98 3.66 -79.7 -0.477 -4.08 -4.38 02a57232o0252o
57232.465345   3.126  1.118 -64618393996 72235010779 o  0   1.04 341.47850  37.72398  2553.94  3453.62 3.71 3.42 -67.4 -0.511 -4.12 -4.41 02a57232o0276o
57232.468158  21.038 141.500    14 1975 o  0   0.97 341.47850  37.72398  2557.00  3452.93 3.78 3.47 -61.1 -0.487 14.93 14.76 02a57232o0280o
57300.323646 -21.892  4.333    -6   28 o  0   1.02 341.47850  37.72398  1111.38  4864.13 4.13 3.33 -53.0 -0.488 18.95 20.60 02a57300o0349o
57300.354921  21.505  2.900     9   26 o  0   1.08 341.47850  37.72398  9491.19  5741.26 4.13 3.40  82.6 -0.496 19.08 20.88 02a57300o0445o
57300.368591  19.704  1.163    48   56 o  0   1.10 341.47850  37.72398  8035.93  7161.30 4.01 3.18 -87.0 -0.502 19.00 20.79 02a57300o0485o
57300.396416 -19.213  2.082   -75  156 o  0   0.97 341.47850  37.72398  8022.33  7159.68 4.06 3.21 -89.2 -0.545 18.89 20.78 02a57300o0565o
57302.320831 -21.870  3.333    -6   22 o  0   1.01 341.47850  37.72398  1124.92  4868.59 4.74 3.70 -47.8 -0.481 19.16 21.04 02a57302o0210o
57302.352796  21.071  1.750    14   24 o  0   1.19 341.47850  37.72398  9477.95  5740.69 4.67 3.91  86.1 -0.484 19.19 21.07 02a57302o0259o
57302.367454  20.692  1.200    19   23 o  0   1.05 341.47850  37.72398  8024.22  7161.98 4.40 3.55 -83.7 -0.473 19.20 21.03 02a57302o0280o
57302.394109  21.645  2.889     8   23 o  0   1.06 341.47850  37.72398  8013.52  7164.64 4.29 3.31 -82.9 -0.489 19.16 20.92 02a57302o0320o
57314.327001 -21.479  2.000    -9   19 c  0   1.23 341.47850  37.72398  9473.18  5752.42 4.56 3.83  76.3 -0.470 19.38 21.30 02a57314o0196c
57314.352645   0.000 20.771    -0   18 c  0   1.10 341.47850  37.72398  9464.46  5757.83 4.40 3.78  77.2 -0.462 19.47 21.48 02a57314o0231c
57314.381139  20.593  0.840    21   18 c  0   1.15 341.47850  37.72398  8004.87  7174.81 4.25 3.65 -86.5 -0.440 19.49 21.53 02a57314o0270c
57314.412195 -23.328 11.000    -2   19 c  0   0.83 341.47850  37.72398  7988.30  7176.30 4.28 3.66 -89.4 -0.450 19.45 21.47 02a57314o0314c
57315.325378  20.519  1.000    22   22 c  0   1.18 341.47850  37.72398  9464.48  5754.72 4.80 4.03  74.7 -0.465 19.16 20.95 02a57315o0213c
57316.321088  21.179  2.083    12   26 c  0   1.04 341.47850  37.72398  9458.31  5750.46 4.77 4.15  77.6 -0.461 18.98 20.63 02a57316o0177c
57316.340830  23.908 25.000     1   25 c  0   1.23 341.47850  37.72398  9451.45  5754.50 4.70 4.02  78.0 -0.462 18.98 20.61 02a57316o0206c
57316.372603  21.323  2.417    11   26 c  0   0.85 341.47850  37.72398  7993.16  7171.51 4.41 3.82 -85.6 -0.457 18.99 20.61 02a57316o0251c
57316.379805  20.136  0.788    32   25 c  0   0.99 341.47850  37.72398  7990.82  7173.17 4.60 4.03 -86.2 -0.449 18.95 20.62 02a57316o0262c
57320.330186 -18.829  0.516  -107   55 o  0   1.02 341.47850  37.72398  9515.32  5762.91 4.76 3.44  87.6 -0.485 18.21 19.20 02a57320o0232o
57320.359873  19.809  1.243    43   54 o  0   0.91 341.47850  37.72398  9506.45  5767.04 4.78 3.64  88.0 -0.507 18.20 19.20 02a57320o0278o
57320.416814  19.399  0.706    63   45 o  0   1.37 341.47850  37.72398  8040.53  7183.93 4.46 3.07 -84.8 -0.513 18.12 19.04 02a57320o0314o
57320.447703  20.181  1.818    31   56 o  0   1.18 341.47850  37.72398  8045.53  7188.36 4.40 3.07 -84.5 -0.522 18.07 18.91 02a57320o0362o
57324.293689  19.954  1.143    38   43 o  0   1.01 341.47850  37.72398  9561.23  5769.31 4.61 3.62  77.9 -0.502 18.45 19.64 02a57324o0191o
57324.314688  21.382  3.500    10   36 o  0   1.70 341.47850  37.72398  9556.44  5772.65 4.43 3.51  79.9 -0.506 18.48 19.64 02a57324o0223o
57324.326799  22.600 11.000     3   36 o  0   1.19 341.47850  37.72398  8098.42  7188.57 4.16 3.09 -88.7 -0.471 18.48 19.64 02a57324o0241o
57324.355752 -19.598  0.627   -53   33 o  0   1.50 341.47850  37.72398  8093.98  7188.87 4.26 3.23 -86.5 -0.506 18.43 19.59 02a57324o0283o
57327.313872  21.844  4.500     7   30 o  0   1.21 341.47850  37.72398  9583.09  5781.75 4.56 3.54  79.7 -0.492 18.86 20.50 02a57327o0207o
57327.345449  19.262  0.470    72   34 o  0   0.91 341.47850  37.72398  9575.04  5783.40 4.51 3.51  82.3 -0.493 18.78 20.33 02a57327o0249o
57327.370785  19.850  0.909    42   38 o  0   0.80 341.47850  37.72398  8119.31  7201.95 4.34 3.25 -87.9 -0.522 18.66 20.16 02a57327o0284o
57327.405159  20.743  1.895    18   35 o  0   1.30 341.47850  37.72398  8116.57  7204.00 4.34 3.32 -87.6 -0.513 18.58 20.02 02a57327o0332o
57364.224450 -20.490  1.125   -23   26 o  0   1.00 341.47850  37.72398   304.06  5293.26 4.54 3.54 -52.7 -0.465 19.16 20.79 02a57364o0086o
57364.234885 -20.920  1.412   -16   22 o  0   1.30 341.47850  37.72398   593.42  5867.92 4.36 3.53 -56.1 -0.461 19.19 20.87 02a57364o0103o
57364.241020 -21.456  2.583   -10   24 o  0   0.83 341.47850  37.72398  9997.30  5333.65 3.90 3.25  81.7 -0.468 19.19 20.84 02a57364o0113o
57364.252082  20.466  0.935    24   22 o  0   1.15 341.47850  37.72398 10287.21  5911.47 3.91 3.14  83.8 -0.474 19.16 20.78 02a57364o0131o
57364.264345  20.655  1.000    20   20 o  0   1.44 341.47850  37.72398  9404.24  4723.93 3.74 3.26  82.0 -0.455 19.13 20.72 02a57364o0151o
57364.278713  22.165  4.714     5   23 o  0   0.96 341.47850  37.72398  9105.04  6488.05 3.73 3.14  85.6 -0.455 19.09 20.64 02a57364o0174o
57365.209804 -20.503  1.261   -23   29 o  0   0.92 341.47850  37.72398   309.77  5291.31 4.56 3.65 -52.5 -0.454 18.99 20.51 02a57365o0063o
57365.222655 -23.225 14.000    -2   26 o  0   1.13 341.47850  37.72398   599.47  5867.63 4.33 3.56 -59.4 -0.455 19.02 20.57 02a57365o0084o
57365.242862 -21.883  3.625    -6   23 o  0   1.22 341.47850  37.72398  9995.75  5336.58 3.94 3.24  83.8 -0.475 19.08 20.65 02a57365o0117o
57365.254501 -21.645  2.900    -8   23 o  0   1.06 341.47850  37.72398 10284.48  5914.44 3.96 3.25  83.8 -0.469 19.11 20.73 02a57365o0136o
57365.267766  20.043  0.682    35   24 o  0   0.98 341.47850  37.72398  9401.18  4727.58 3.91 3.41  79.7 -0.450 19.11 20.76 02a57365o0157o
57365.283058 -21.324  2.143   -11   23 o  0   1.13 341.47850  37.72398  9100.63  6491.01 3.88 3.32  83.9 -0.451 19.10 20.74 02a57365o0182o
57384.198056  20.077  1.789    34   60 o  0   0.98 341.47850  37.72398  9875.81  5540.06 4.11 3.56  85.5 -0.459 18.24 19.13 02a57384o0036o
57384.230838  20.468  1.192    24   28 o  0   0.76 341.47850  37.72398   458.52  6076.22 4.21 3.65 -64.2 -0.434 19.07 20.73 02a57384o0048o
57384.231461  24.045 23.000     1   20 o  0   1.30 341.47850  37.72398  9273.96  4918.84 4.36 3.37  85.9 -0.424 19.06 20.77 02a57384o0049o
57384.242751  21.555  2.545     9   22 o  0   1.12 341.47850  37.72398  8978.83  6675.44 3.89 3.38  83.5 -0.450 19.14 20.81 02a57384o0067o
57385.209877  20.140  0.818    32   26 o  0   0.93 341.47850  37.72398  9874.71  5538.88 4.38 3.70  84.5 -0.445 18.94 20.59 02a57385o0056o
57385.222421  20.115  0.812    33   26 o  0   1.15 341.47850  37.72398   174.54  5503.01 4.65 3.76 -50.2 -0.420 19.02 20.62 02a57385o0075o
57385.223026 -20.790  1.300   -18   23 o  0   1.06 341.47850  37.72398 10163.85  6111.42 4.02 3.36  85.6 -0.474 19.05 20.64 02a57385o0076o
57385.235805  23.950 29.000     1   28 o  0   0.97 341.47850  37.72398   461.67  6077.61 4.33 3.61 -59.3 -0.448 19.01 20.57 02a57385o0096o
57385.236430 -19.580  0.469   -53   25 o  0   1.05 341.47850  37.72398  9277.94  4918.97 3.89 3.25  84.8 -0.497 19.01 20.58 02a57385o0097o
57385.247587  20.943  1.647    15   25 o  0   1.18 341.47850  37.72398  8978.14  6676.16 4.27 3.48  89.4 -0.445 18.95 20.61 02a57385o0115o
57395.210804 -20.616  1.140   -21   24 c  0   0.90 341.47850  37.72398   263.48  5402.31 4.36 3.74 -54.7 -0.424 19.23 20.88 02a57395o0034c
57395.220493 -20.293  0.710   -28   20 c  0   0.96 341.47850  37.72398  9943.95  5437.56 4.06 3.51  80.8 -0.448 19.40 21.23 02a57395o0048c
57395.221104 -20.517  0.902   -23   20 c  0   0.97 341.47850  37.72398   574.74  5979.70 4.28 3.73 -57.3 -0.427 19.35 21.15 02a57395o0049c
57395.232124 -21.486  1.826    -9   17 c  0   1.22 341.47850  37.72398 10258.74  6018.12 4.08 3.57  77.6 -0.445 19.43 21.30 02a57395o0067c
57395.246221  20.781  0.978    18   17 c  0   1.01 341.47850  37.72398  9404.94  4836.28 3.96 3.60  74.0 -0.431 19.39 21.24 02a57395o0090c
57395.261479  20.609  1.000    21   21 c  0   0.98 341.47850  37.72398  9136.90  6605.49 4.04 3.66  79.6 -0.424 19.32 21.18 02a57395o0115c
57402.211438  24.025 37.000     1   33 c  0   0.93 341.47850  37.72398   145.78  5500.41 4.23 3.84 -45.5 -0.403 18.71 19.98 02a57402o0038c
57402.216256  19.833  0.621    42   26 c  0   0.96 341.47850  37.72398  9839.77  5536.29 4.22 3.69  80.2 -0.456 18.98 20.46 02a57402o0046c
57402.218075  22.558  7.429     3   26 c  0   1.07 341.47850  37.72398   444.12  6073.37 4.40 3.93 -43.8 -0.421 18.93 20.46 02a57402o0049c
57402.228531 -21.169  1.926   -12   24 c  0   1.22 341.47850  37.72398 10135.12  6110.56 4.26 3.63  80.5 -0.477 19.05 20.63 02a57402o0065c
57402.242479 -21.811  3.625    -7   25 c  0   0.97 341.47850  37.72398  9260.58  4916.09 4.05 3.52  79.4 -0.483 19.03 20.56 02a57402o0088c
57402.258173  21.848  4.214     7   28 c  0   1.16 341.47850  37.72398  8966.51  6674.63 4.20 3.71  79.4 -0.461 18.90 20.46 02a57402o0114c
57403.211490  20.705  1.951    19   37 c  0   0.83 341.47850  37.72398   151.79  5501.27 4.34 3.88 -50.3 -0.410 18.60 19.77 02a57403o0038c
57403.215138  21.401  3.273    10   33 c  0   1.13 341.47850  37.72398  9843.58  5537.63 4.28 3.72  80.8 -0.455 18.82 20.17 02a57403o0044c
57403.218172 -20.622  1.419   -20   29 c  0   0.94 341.47850  37.72398   447.88  6072.83 4.33 3.84 -53.0 -0.440 18.84 20.19 02a57403o0049c
57403.226810  22.831 10.333     3   28 c  0   1.27 341.47850  37.72398 10136.89  6114.02 4.20 3.57  79.5 -0.473 18.91 20.31 02a57403o0062c
57403.240118  20.946  1.941    15   30 c  0   1.02 341.47850  37.72398  9263.54  4915.32 4.12 3.55  77.9 -0.491 18.86 20.25 02a57403o0084c
57403.255870 -20.487  1.615   -23   38 c  0   1.13 341.47850  37.72398  8969.96  6672.56 4.12 3.39  81.5 -0.490 18.79 20.14 02a57403o0110c
57524.559467 -16.746  0.609  -727  443 o  0   1.19 341.47850  37.72398    65.30  5152.76 4.61 3.86 -36.6 -0.391 15.95 17.43 02a57524o0543o
