# MJD Mag Magerr
5.824244607640000322e+04 1.940181540000000027e+01 3.972956079258494616e-02
5.825444590279999829e+04 1.929564480000000160e+01 3.677586489322545032e-02
5.826247387729999900e+04 1.923735239999999891e+01 3.526115717368875913e-02
5.826947613429999910e+04 1.913367459999999909e+01 3.274303311184321302e-02
5.827242656249999709e+04 1.924864579999999847e+01 3.554891215697228435e-02
5.827547690970000258e+04 1.927854160000000050e+01 3.632380565902659786e-02
5.827843351850000181e+04 1.923099140000000062e+01 3.510027475390895685e-02
5.828143252309999662e+04 1.925662990000000008e+01 3.575395919351279095e-02
5.828742851849999715e+04 1.928036690000000064e+01 3.637174509462799687e-02
5.829044731480000337e+04 1.919848250000000078e+01 3.429131602911758558e-02
5.829343427079999674e+04 1.927762029999999882e+01 3.629963448650394553e-02
5.829646957180000027e+04 1.935187720000000056e+01 3.830807400057124196e-02
5.829946859950000362e+04 1.906135940000000062e+01 3.111259018487057271e-02
5.830244497689999844e+04 1.932997699999999952e+01 3.770286901401759261e-02
5.830547329860000173e+04 1.916299439999999876e+01 3.343302974740267747e-02
5.831036423610000202e+04 1.918886949999999914e+01 3.405629735241767070e-02
5.831344759260000137e+04 1.920626640000000052e+01 3.448299994957519654e-02
5.831640949070000352e+04 1.914771839999999870e+01 3.307140975336030075e-02
5.831940784719999647e+04 1.928589440000000010e+01 3.651736772580572304e-02
5.832244980319999740e+04 1.920612140000000068e+01 3.447943584855530513e-02
5.832542565969999850e+04 1.927883909999999901e+01 3.633163446246518574e-02
5.832943165510000108e+04 1.928844259999999977e+01 4.805432991744366250e-02
5.833145391199999722e+04 1.926954650000000058e+01 3.608860780146833092e-02
5.833149275460000354e+04 1.924645040000000051e+01 4.659069630858005129e-02
5.833149321760000021e+04 1.929005809999999954e+01 4.811154956386270304e-02
5.833343070599999919e+04 1.930556299999999936e+01 4.866431600649830796e-02
5.833343116900000314e+04 1.911903759999999863e+01 4.242510727963971079e-02
5.833432262729999638e+04 1.924672130000000081e+01 3.549966358387620508e-02
5.833739106480000191e+04 1.924917410000000118e+01 3.556243338213145588e-02
5.833839177080000081e+04 1.922393609999999953e+01 4.582481962006739601e-02
5.834240577550000307e+04 1.924169919999999934e+01 3.537157401889138436e-02
5.834341373839999869e+04 1.914292139999999875e+01 3.295881183729110903e-02
5.834341468750000058e+04 1.919025419999999826e+01 3.409001743633482268e-02
5.834436255789999996e+04 1.917814639999999926e+01 3.379633817101716786e-02
5.834438795140000002e+04 1.919074630000000070e+01 4.471936571862362986e-02
5.834634416670000064e+04 1.922850040000000149e+01 3.503749441976267143e-02
5.834938263890000235e+04 1.915307620000000099e+01 3.319770807544702301e-02
5.835031196759999875e+04 1.922290990000000122e+01 4.579021699617662894e-02
5.835238679399999819e+04 1.922587389999999985e+01 3.497146082873749118e-02
5.836038550930000201e+04 1.925129889999999833e+01 4.675733443613735302e-02
5.836139068289999705e+04 1.915013310000000146e+01 3.312825003699124138e-02
5.836332729169999948e+04 1.934833150000000046e+01 5.022231640942381725e-02
5.836426527779999742e+04 1.924368480000000048e+01 3.542216340786594891e-02
5.836728917820000061e+04 1.932366560000000177e+01 3.753049101787468006e-02
5.837034449070000119e+04 1.929113389999999839e+01 3.665600979883957417e-02
5.837136895830000140e+04 1.932392880000000090e+01 4.932738601583018523e-02
5.837336733799999638e+04 1.937466620000000006e+01 3.894953588733023053e-02
5.837513622690000193e+04 1.931300740000000005e+01 3.724138736982740561e-02
5.837538594909999665e+04 1.931196209999999880e+01 3.721316737458635338e-02
5.837613435190000018e+04 1.927126690000000053e+01 3.613348100993446499e-02
5.837638445599999977e+04 1.929322050000000033e+01 3.671141444357266942e-02
5.837920754630000010e+04 1.928244019999999992e+01 4.784225749218935092e-02
5.837933937500000320e+04 1.931472970000000089e+01 3.728793854268529218e-02
5.838013321759999963e+04 1.929009059999999920e+01 3.662835881242534897e-02
5.838038303240000096e+04 1.929821589999999887e+01 3.684438509595733963e-02
5.838224517360000027e+04 1.923916439999999994e+01 3.530713940843050597e-02
5.838324243060000299e+04 1.922355080000000171e+01 4.581179619808217057e-02
5.838535015050000220e+04 1.947313690000000008e+01 4.186280246150064777e-02
5.838830673609999940e+04 1.946883959999999902e+01 4.173076957412918259e-02
5.838833278940000309e+04 1.923934560000000005e+01 4.634759328005082918e-02
5.838936163189999934e+04 1.926306530000000095e+01 4.716431490592876835e-02
5.839032957180000085e+04 1.945421980000000062e+01 5.429399168761697009e-02
5.840026120369999990e+04 1.936165809999999965e+01 3.858191793072712761e-02
5.842322609950000333e+04 1.941304209999999841e+01 4.005717616294141026e-02
5.842621796300000278e+04 1.948155209999999826e+01 4.212277210808151179e-02
5.842820740739999746e+04 1.942802999999999969e+01 5.325807487916713739e-02
5.842921943289999763e+04 1.946337700000000126e+01 4.156353874966788736e-02
5.843316347220000171e+04 1.955503849999999844e+01 4.446904503904680617e-02
5.843619005789999937e+04 1.937985610000000136e+01 3.909732120459822463e-02
5.844324898150000081e+04 1.939990999999999843e+01 5.216705097651774120e-02
5.846911159719999705e+04 1.960519980000000118e+01 4.615155775375111291e-02
5.847213571760000195e+04 1.942421149999999841e+01 4.038615603725353304e-02
5.848212217589999636e+04 1.963367649999999998e+01 4.713684571666799245e-02
5.848713523149999673e+04 1.959699630000000070e+01 4.587178169267581984e-02
5.849114072920000035e+04 1.951565929999999938e+01 4.319455591805753530e-02
5.849413491899999644e+04 1.953905869999999823e+01 4.394704311540435782e-02
5.860747692130000360e+04 1.979850009999999827e+01 5.328954275727553619e-02
5.861747104170000239e+04 1.979846380000000039e+01 5.328807289440948280e-02
5.862846474540000054e+04 1.993013189999999923e+01 5.878759390518886740e-02
5.863445121530000324e+04 1.996138189999999923e+01 6.017326637513157467e-02
5.863746905089999927e+04 1.993860439999999912e+01 5.916015623524874950e-02
5.864344765049999842e+04 1.998824120000000093e+01 6.138959278138773901e-02
5.864644546299999638e+04 1.988970180000000099e+01 5.704122867032596078e-02
5.865246513889999915e+04 1.992839239999999990e+01 5.871134495462792396e-02
5.865546822919999977e+04 2.007548519999999925e+01 6.550535899581499955e-02
5.865847383100000297e+04 2.037924960000000141e+01 8.188286555934605471e-02
5.866146707179999794e+04 2.002264600000000172e+01 6.298238538353204130e-02
5.866547241899999790e+04 1.993103599999999886e+01 5.882722243194826728e-02
5.866845200230000046e+04 2.012009619999999899e+01 6.770908598791819388e-02
5.867445878470000025e+04 2.016431049999999914e+01 6.996071288835370439e-02
5.867747892359999969e+04 2.009021570000000168e+01 6.622548530989946780e-02
5.868046939810000185e+04 1.987936399999999892e+01 5.660300680872815821e-02
5.868346483799999987e+04 2.007266999999999868e+01 6.536853977335237154e-02
5.868646594909999840e+04 2.006399730000000048e+01 6.494887833338984506e-02
5.869030641199999809e+04 1.993562509999999932e+01 5.902889515492894951e-02
5.869049659719999909e+04 1.988614270000000062e+01 7.421683880889699825e-02
5.869340723379999690e+04 1.997828099999999907e+01 6.093579767075176651e-02
5.869640796299999784e+04 2.011968040000000002e+01 6.768828128007008116e-02
5.869943331020000187e+04 1.999410250000000033e+01 6.165818411024093920e-02
5.870440510419999919e+04 2.013791080000000022e+01 8.823280466255405130e-02
5.870440555560000212e+04 1.996377370000000084e+01 7.836347772965493452e-02
5.870540755789999821e+04 2.004905700000000124e+01 6.423169174503749745e-02
5.870839502309999807e+04 1.982756039999999942e+01 7.119886605459950502e-02
5.870839547450000100e+04 1.998960110000000157e+01 7.977920591475332057e-02
5.870844434029999684e+04 2.026119609999999938e+01 7.513289493681739317e-02
5.871247024309999688e+04 2.012907600000000130e+01 6.816098980004653418e-02
5.871738467590000073e+04 2.012889669999999853e+01 6.815184917210748150e-02
5.871743504630000098e+04 2.017336849999999870e+01 9.032845137310237249e-02
5.871743549769999663e+04 2.024021150000000091e+01 9.434548893457730956e-02
5.871843761570000061e+04 2.013404459999999929e+01 8.800599662695456071e-02
5.872240753470000345e+04 2.008580969999999866e+01 6.600930360429697885e-02
5.872340495370000281e+04 2.008695790000000159e+01 6.606562755855627245e-02
5.872342322920000151e+04 2.008343890000000087e+01 8.506673334268451125e-02
5.872342368059999717e+04 2.016208650000000091e+01 8.965884317162894912e-02
5.872532234949999838e+04 2.017820359999999980e+01 7.068218263461174822e-02
5.872542576389999886e+04 2.016694259999999872e+01 8.994676927475349359e-02
5.872542621530000179e+04 1.997253800000000012e+01 7.884189698541760327e-02
5.872642819440000312e+04 2.005384249999999824e+01 8.337539119773555718e-02
5.872642864579999878e+04 2.008415409999999923e+01 8.510786362282578288e-02
5.872738548609999998e+04 2.007693480000000008e+01 6.557590753434873465e-02
5.873030619209999713e+04 2.004745099999999880e+01 6.415512148515518931e-02
5.873030709490000299e+04 1.992564390000000074e+01 5.859115794431896812e-02
5.873238855319999857e+04 2.008139609999999919e+01 6.579343267212481305e-02
5.873439057869999669e+04 2.001714709999999897e+01 6.272511575348445334e-02
5.873449636569999711e+04 1.996867560000000097e+01 7.863080439802996868e-02
5.873540637730000162e+04 2.023957060000000041e+01 7.394977518424455942e-02
5.873644704859999911e+04 2.021748159999999928e+01 7.275848410570832925e-02
5.873644979169999715e+04 1.996581270000000075e+01 6.037229960991944561e-02
5.873744369210000150e+04 1.988768200000000164e+01 7.429742352610814449e-02
5.873747237270000187e+04 2.034083940000000013e+01 7.963251873431652361e-02
5.873919833330000256e+04 1.982619670000000056e+01 5.440181387519670009e-02
