# MJD Mag Magerr
5.824246878470000229e+04 1.876460459999999841e+01 2.931208213732559853e-02
5.825446531249999680e+04 1.869227409999999878e+01 2.785304253050867318e-02
5.825742276619999757e+04 1.860672569999999837e+01 2.624114941856960787e-02
5.825746659720000025e+04 1.864231679999999969e+01 2.689726001225037702e-02
5.826638542820000293e+04 1.863665960000000155e+01 2.679160574335107819e-02
5.826943071760000021e+04 1.850878330000000105e+01 2.453706018896553709e-02
5.827247537040000316e+04 1.859073640000000083e+01 2.595292562349016049e-02
5.827543327549999958e+04 1.863780780000000092e+01 2.681302160359016334e-02
5.827846716439999727e+04 1.860223960000000076e+01 2.615988503032038934e-02
5.828147243059999892e+04 1.854887390000000025e+01 2.521704687950917026e-02
5.828148119210000004e+04 1.863521190000000161e+01 2.554841861321932930e-02
5.828744576390000293e+04 1.866567799999999977e+01 2.733906697593947374e-02
5.829047170139999798e+04 1.855372429999999895e+01 2.530094545265034259e-02
5.829347048609999911e+04 1.864161680000000132e+01 2.688416814232873903e-02
5.829637084489999688e+04 1.858951950000000153e+01 2.593114885594996130e-02
5.829943267360000027e+04 1.848469539999999967e+01 2.413980505371052243e-02
5.830040918979999697e+04 1.855910300000000035e+01 2.426827129447767586e-02
5.830040964119999990e+04 1.857150650000000169e+01 2.561156770355201354e-02
5.830041100690000167e+04 1.860883330000000058e+01 2.627944250346205685e-02
5.830142722219999996e+04 1.861292650000000037e+01 2.635401341892056049e-02
5.830542240740000125e+04 1.860033419999999893e+01 2.612544843510185982e-02
5.831043000000000029e+04 1.869155119999999926e+01 2.783892068884956730e-02
5.831340724539999792e+04 1.864532090000000153e+01 2.695357343061864294e-02
5.831644664349999948e+04 1.860646059999999835e+01 2.623634731499721595e-02
5.832240523150000081e+04 1.863451390000000174e+01 2.675166898874576510e-02
5.832549491899999703e+04 1.863232610000000022e+01 2.671103149132029314e-02
5.832637153940000280e+04 1.867104720000000029e+01 2.618117976316785764e-02
5.832637199069999770e+04 1.856634710000000155e+01 2.438648795174086156e-02
5.832739597219999996e+04 1.871750450000000043e+01 2.703130277993668132e-02
5.832836331020000216e+04 1.870551490000000072e+01 2.680861201499200319e-02
5.832840461810000124e+04 1.854824070000000091e+01 2.520612561527374104e-02
5.833041493060000357e+04 1.870492550000000165e+01 2.679773812691091731e-02
5.833041538189999847e+04 1.864581300000000041e+01 2.573356179595097035e-02
5.833334511570000177e+04 1.863254360000000176e+01 2.550209392666346123e-02
5.833334557869999844e+04 1.853695490000000135e+01 2.391145609101346867e-02
5.833436241899999732e+04 1.864778330000000039e+01 2.699985067030950120e-02
5.833437942130000010e+04 1.865046690000000140e+01 2.581537935383510993e-02
5.833437987270000303e+04 1.853873630000000006e+01 2.393989203666549784e-02
5.833537270829999761e+04 1.859461020000000175e+01 2.485493700188878829e-02
5.833537315970000054e+04 1.862031560000000141e+01 2.529113052768475894e-02
5.833637309030000324e+04 1.860485840000000124e+01 2.502767321832704769e-02
5.833637355319999915e+04 1.860996250000000174e+01 2.511426650470064900e-02
5.833734740739999688e+04 1.860803220000000024e+01 2.626487815437927864e-02
5.834038668979999784e+04 1.861366269999999901e+01 2.636744250806614606e-02
5.834038810189999640e+04 1.855467799999999912e+01 2.531748284178466507e-02
5.834234062499999709e+04 1.865651700000000091e+01 2.716474231482795751e-02
5.834334679399999732e+04 1.865269659999999874e+01 2.709245259655623100e-02
5.834334798610000144e+04 1.864189530000000161e+01 2.688936269016469274e-02
5.834442592590000277e+04 1.863540460000000110e+01 2.676825637032951427e-02
5.834444652779999888e+04 1.862900919999999871e+01 2.544088619799852319e-02
5.834534925929999736e+04 1.858400729999999967e+01 2.467782803711567052e-02
5.834638686340000277e+04 1.863836480000000151e+01 2.682340553738256708e-02
5.834932812500000000e+04 1.855878260000000068e+01 2.538880849067091591e-02
5.835232146990000183e+04 1.864859390000000161e+01 2.701510253931562605e-02
5.835332026619999669e+04 1.860980989999999835e+01 2.511167715037862166e-02
5.835429688660000102e+04 1.860951610000000045e+01 2.510668801706260334e-02
5.835531555559999833e+04 1.862093349999999958e+01 2.650062918157247011e-02
5.835532315969999763e+04 1.864925769999999972e+01 2.579407677210237074e-02
5.835543422450000071e+04 1.869187930000000009e+01 2.784532700557643473e-02
5.835632743060000212e+04 1.864186859999999868e+01 2.566447520068734431e-02
5.835840516200000275e+04 1.863870999999999967e+01 2.682983292589151761e-02
5.835934878469999967e+04 1.861475370000000140e+01 2.519591548832815150e-02
5.836030878469999880e+04 1.861330799999999996e+01 2.517125697781190385e-02
5.836130158559999836e+04 1.858028600000000097e+01 2.576671555804706942e-02
5.836132109949999722e+04 1.866823959999999971e+01 2.613089591503344258e-02
5.836430670139999711e+04 1.864643859999999975e+01 2.697457308780632293e-02
5.836733171299999958e+04 1.869751739999999884e+01 2.795578337804812893e-02
5.836832363430000260e+04 1.867790989999999951e+01 2.630462257594010783e-02
5.837028886570000031e+04 1.861114500000000049e+01 2.632151825608046100e-02
5.837232738429999881e+04 1.867362209999999934e+01 2.622740693969860537e-02
5.837328854169999977e+04 1.861817740000000043e+01 2.645004240889299238e-02
5.837526119209999888e+04 1.864528079999999832e+01 2.695281477575311307e-02
5.837625937500000146e+04 1.864356229999999925e+01 2.692059616237512526e-02
5.837634579859999940e+04 1.864012909999999934e+01 2.685634858165787675e-02
5.837826342589999695e+04 1.868518449999999831e+01 2.643626563534310150e-02
5.837926684029999888e+04 1.864827349999999839e+01 2.577677811180742462e-02
5.837930711809999775e+04 1.868605799999999917e+01 2.773185977243045400e-02
5.838025516200000129e+04 1.868825530000000157e+01 2.777461774167134384e-02
5.838028702550000162e+04 1.867089839999999867e+01 2.617850605100683140e-02
5.838230680559999746e+04 1.868094059999999956e+01 2.763257236369964093e-02
5.838523986110000260e+04 1.870565410000000028e+01 2.811611786078319075e-02
5.838630053239999688e+04 1.867633629999999911e+01 2.627625253264008476e-02
5.838824424770000041e+04 1.871498490000000103e+01 2.830138747420730266e-02
5.838929115740000270e+04 1.866846659999999858e+01 2.613494728333624895e-02
5.840019033559999662e+04 1.870271869999999836e+01 2.805815016610033186e-02
5.842313689809999778e+04 1.877182390000000112e+01 2.946276496605085629e-02
5.842526009260000137e+04 1.882516860000000136e+01 2.913744663207307184e-02
5.842914003470000171e+04 1.882842829999999879e+01 3.067720269009447526e-02
5.843312106479999784e+04 1.883056260000000037e+01 3.072414376163150676e-02
5.843612017360000027e+04 1.878394510000000039e+01 2.971787459701394699e-02
