# MJD Mag Magerr
5.536942441560167936e+04 1.476165225321432395e+01 6.114357758202580706e-02
5.554918333032560622e+04 1.480579060647175638e+01 7.519820169434072998e-02
5.664643674001276668e+04 1.477830670353104026e+01 1.004525555457728980e-01
5.683417045579677506e+04 1.471614987839214983e+01 7.490399760459613698e-02
5.701117022813661606e+04 1.479693659644059167e+01 9.666121706487114384e-02
5.719599243071351520e+04 1.478253310162537382e+01 8.508720499150063121e-02
5.737033834077280335e+04 1.470845839792645471e+01 8.387407283027227545e-02
5.756046838700386434e+04 1.412683348696547370e+01 7.365427334060954678e-02
5.772943931378934940e+04 1.478724822595061994e+01 1.035928340511712842e-01
5.773249170480820612e+04 1.481980791548443577e+01 1.219762178534571778e-01
5.792731558652056265e+04 1.480196589149487529e+01 9.675678751817773371e-02
5.809274970334046520e+04 1.500325225018841024e+01 1.209548931485011497e-01
5.829139259562465304e+04 1.443464180020045973e+01 7.427022219287483795e-02
5.845355092808797053e+04 1.451072076066990135e+01 6.733996053541019267e-02
5.865561969715704618e+04 1.414841601969494178e+01 7.231636926159321077e-02
5.865938783339999645e+04 1.478700000000000081e+01 4.550000000000000155e-01
5.881784211743777996e+04 1.445501641304150198e+01 6.487305774539568748e-02
5.882336457487999724e+04 1.445599999999999952e+01 2.250000000000000056e-01
5.902284931652147498e+04 1.446959782607371636e+01 8.958370789575381687e-02
5.918490463939651818e+04 1.444441768248795555e+01 7.317989693368262549e-02
5.938686179668358091e+04 1.427984801670698189e+01 7.609750338835487293e-02
5.954905715065546974e+04 1.459182170016194213e+01 7.895556327007841046e-02
5.975079721964189957e+04 1.443423114938512697e+01 1.071328525289161476e-01
5.975397075082785886e+04 1.405596921863821080e+01 8.248821295960033495e-02
5.991332578057836508e+04 1.459094550243477251e+01 7.479590584010566146e-02
5.991620307586274430e+04 1.451827741193361732e+01 8.699030153156636636e-02
